"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2019-02-27","24-020","MIN","@","ATL","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","","2019-02-28","24-021","MIN","@","IND","L (-7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"3","3","1","2019-03-03","24-024","MIN","@","WAS","L (-14)","0","2:04","1","2",".500","0","1",".000","0","0","","1","0","1","0","0","0","0","0","2","1.7","-1",NA
"4","4","","2019-03-05","24-026","MIN","","OKC","W (+11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"5","5","2","2019-03-06","24-027","MIN","@","DET","L (-17)","0","5:12","0","1",".000","0","1",".000","2","2","1.000","0","0","0","1","0","0","0","0","2","2.0","+8",NA
"6","6","3","2019-03-09","24-030","MIN","","WAS","W (+5)","0","20:03","2","6",".333","1","4",".250","0","0","","0","1","1","0","1","1","0","2","5","2.8","+3",NA
"7","7","4","2019-03-10","24-031","MIN","","NYK","W (+11)","0","18:08","1","4",".250","1","1","1.000","0","0","","0","2","2","0","0","0","0","0","3","1.2","0",NA
"8","8","5","2019-03-12","24-033","MIN","@","DEN","L (-26)","0","25:22","4","7",".571","4","7",".571","0","0","","0","1","1","2","2","0","1","1","12","11.0","-15",NA
"9","9","6","2019-03-14","24-035","MIN","@","UTA","L (-20)","0","17:49","1","5",".200","0","2",".000","0","0","","0","1","1","1","1","0","0","1","2","0.5","-14",NA
"10","10","7","2019-03-17","24-038","MIN","@","HOU","L (-15)","0","14:59","0","2",".000","0","2",".000","0","0","","0","2","2","0","0","0","0","1","0","-1.2","+9",NA
"11","11","8","2019-03-19","24-040","MIN","","GSW","L (-10)","0","8:17","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","2","0","-2.2","-6",NA
"12","12","9","2019-03-21","24-042","MIN","@","CHO","L (-7)","0","8:57","2","4",".500","2","4",".500","0","0","","0","2","2","1","0","0","0","1","6","4.9","-2",NA
"13","13","10","2019-03-23","24-044","MIN","@","MEM","W (+13)","0","3:26","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+1",NA
"14","14","11","2019-03-26","24-047","MIN","","LAC","L (-11)","0","5:57","2","5",".400","0","1",".000","1","1","1.000","1","1","2","1","0","0","0","1","5","3.6","+4",NA
"15","15","12","2019-03-29","24-050","MIN","","GSW","W (+1)","0","10:04","1","2",".500","1","2",".500","1","2",".500","1","0","1","2","0","0","0","0","4","4.7","+4",NA
"16","16","13","2019-03-30","24-051","MIN","","PHI","L (-9)","0","18:15","3","5",".600","2","3",".667","2","2","1.000","1","3","4","1","0","1","0","2","10","9.9","+2",NA
"17","17","14","2019-04-01","24-053","MIN","","POR","L (-10)","0","20:47","3","5",".600","1","3",".333","0","0","","0","2","2","1","1","0","0","4","7","5.4","0",NA
"18","18","15","2019-04-03","24-055","MIN","@","DAL","W (+2)","0","14:51","2","4",".500","1","3",".333","2","2","1.000","0","4","4","0","0","0","1","4","7","3.6","-1",NA
"19","19","16","2019-04-05","24-057","MIN","","MIA","W (+2)","0","12:36","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","0","3","2.0","-11",NA
"20","20","17","2019-04-07","24-059","MIN","","OKC","L (-6)","0","7:18","0","0","","0","0","","0","0","","0","1","1","1","0","0","2","3","0","-2.2","-13",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","18","2019-04-09","24-061","MIN","","TOR","L (-20)","0","19:24","3","10",".300","2","7",".286","0","0","","0","1","1","1","1","0","1","1","8","2.8","0",NA
"23","22","19","2019-04-10","24-062","MIN","@","DEN","L (-4)","0","25:57","7","11",".636","5","7",".714","0","0","","0","6","6","1","0","0","0","3","19","15.4","+6",NA
